LATITUD,LONGITUD,CANTIDAD
-34.633299,-58.468594,136561293
-34.618036,-58.410236,62396305
-34.60855,-58.372951,58765728
-34.588796,-58.38152,90215539
-34.579632000000004,-58.427733,2902011
-34.579632,-58.427733,26990186
-34.53698,-58.470968000000006,882378
-34.53698,-58.470968,13936665
